case_number,court,year,month,pdf_url,civilian_judge,military_judge
OA_2183_of_2012,CHANDIGARH,2013,11,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/november2013/OA_2183_of_2012.pdf,prakash krishna,lt. gen. hs panag
OA_2509_of_2012,CHANDIGARH,2013,11,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/november2013/OA_2509_of_2012.pdf,prakash krishna,lt. gen. hs panag
TA_47_of_2013,CHANDIGARH,2013,11,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/november2013/TA_47_of_2013.pdf,prakash krishna,lt. gen. hs panag
OA_1358_of_2012,CHANDIGARH,2013,12,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/december2013/OA_1358_of_2012.pdf,prakash krishna,lt. gen. hs panag
TA_833_of_2010,CHANDIGARH,2013,12,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/december2013/TA_833_of_2010.pdf,prakash krishna,lt. gen. hs panag
OA_657_of_2010,CHANDIGARH,2014,01,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/january2014/OA_657_of_2010.pdf,prakash krishna,lt. gen. hs panag
OA_1063_of_2012,CHANDIGARH,2014,01,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/january2014/OA_1063_of_2012.pdf,prakash krishna,lt. gen. hs panag
OA_1208_of_2011,CHANDIGARH,2014,01,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/january2014/OA_1208_of_2011.pdf,prakash krishna,lt. gen. hs panag
OA_1265_of_2011,CHANDIGARH,2014,01,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/january2014/OA_1265_of_2011.pdf,prakash krishna,lt. gen. hs panag
OA_1334_of_2012,CHANDIGARH,2014,01,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/january2014/OA_1334_of_2012.pdf,prakash krishna,lt. gen. hs panag
OA_1763_of_2011,CHANDIGARH,2014,01,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/january2014/OA_1763_of_2011.pdf,prakash krishna,lt. gen. hs panag
OA_2087_of_2012,CHANDIGARH,2014,01,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/january2014/OA_2087_of_2012.pdf,prakash krishna,lt. gen. hs panag
TA_250_of_2011,CHANDIGARH,2014,01,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/january2014/TA_250_of_2011.pdf,prakash krishna,lt. gen. hs panag
OA_960_of_2011,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/OA_960_of_2011.pdf,prakash krishna,lt. gen. hs panag
OA_1954_of_2013,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/OA_1954_of_2013.pdf,prakash krishna,lt. gen. hs panag
OA_2000_of_2012,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/OA_2000_of_2012.pdf,prakash krishna,lt. gen. hs panag
OA_3337_of_2012,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/OA_3337_of_2012.pdf,prakash krishna,lt. gen. hs panag
OA_3393_of_2013,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/OA_3393_of_2013.pdf,prakash krishna,lt. gen. hs panag
TA_09_of_2013,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/TA_09_of_2013.pdf,prakash krishna,lt. gen. hs panag
TA_48_of_2011,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/TA_48_of_2011.pdf,prakash krishna,lt. gen. hs panag
TA_57_of_2010,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/TA_57_of_2010.pdf,prakash krishna,lt. gen. hs panag
TA_135_of_2011,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/TA_135_of_2011.pdf,prakash krishna,lt. gen. hs panag
TA_147_of_2011,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/TA_147_of_2011.pdf,prakash krishna,lt. gen. hs panag
TA_150_of_2012,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/TA_150_of_2012.pdf,prakash krishna,lt. gen. hs panag
TA_164_of_2012,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/TA_164_of_2012.pdf,prakash krishna,lt. gen. hs panag
TA_174_of_2012,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/TA_174_of_2012.pdf,prakash krishna,lt. gen. hs panag
TA_262_of_2011,CHANDIGARH,2014,02,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/february2014/TA_262_of_2011.pdf,prakash krishna,lt. gen. hs panag
OA_708_of_2010,CHANDIGARH,2014,03,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/march2014/OA_708_of_2010.pdf,prakash krishna,lt. gen. hs panag
OA_1144_of_2012,CHANDIGARH,2014,03,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/march2014/OA_1144_of_2012.pdf,prakash krishna,lt. gen. hs panag
OA_1718_of_2012,CHANDIGARH,2014,03,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/march2014/OA_1718_of_2012.pdf,prakash krishna,lt. gen. hs panag
TA_17_of_2012,CHANDIGARH,2014,03,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/march2014/TA_17_of_2012.pdf,prakash krishna,lt. gen. hs panag
TA_54_of_2012,CHANDIGARH,2014,03,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/march2014/TA_54_of_2012.pdf,prakash krishna,lt. gen. hs panag
TA_108_of_2011,CHANDIGARH,2014,03,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/march2014/TA_108_of_2011.pdf,prakash krishna,lt. gen. hs panag
TA_188_of_2011,CHANDIGARH,2014,03,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/march2014/TA_188_of_2011.pdf,prakash krishna,lt. gen. hs panag
TA_407_of_2010,CHANDIGARH,2014,03,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/march2014/TA_407_of_2010.pdf,prakash krishna,lt. gen. hs panag
TA_821_of_2010,CHANDIGARH,2014,03,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/march2014/TA_821_of_2010.pdf,prakash krishna,lt. gen. hs panag
OA_1864_of_2011,CHANDIGARH,2014,04,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/april2014/OA_1864_of_2011.pdf,prakash krishna,lt. gen. hs panag
OA_2520_of_2012,CHANDIGARH,2014,04,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/april2014/OA_2520_of_2012.pdf,prakash krishna,lt. gen. hs panag
TA_111_of_2012,CHANDIGARH,2014,04,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/april2014/TA_111_of_2012.pdf,prakash krishna,lt. gen. hs panag
TA_137_of_2012,CHANDIGARH,2014,04,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/april2014/TA_137_of_2012.pdf,prakash krishna,lt. gen. hs panag
OA_413_of_2012,CHANDIGARH,2014,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2014/OA_413_of_2012.pdf,prakash krishna,lt. gen. hs panag
OA_1447_of_2011,CHANDIGARH,2014,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2014/OA_1447_of_2011.pdf,prakash krishna,lt. gen. hs panag
OA_1525_of_2013,CHANDIGARH,2014,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2014/OA_1525_of_2013.pdf,prakash krishna,lt. gen. hs panag
TA_1252_of_2010,CHANDIGARH,2014,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2014/TA_1252_of_2010.pdf,prakash krishna,lt. gen. hs panag
OA_865_of_2012,CHANDIGARH,2014,07,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/july2014/OA_865_of_2012.pdf,prakash krishna,lt. gen. hs panag
OA_2426_of_2012,CHANDIGARH,2014,07,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/july2014/OA_2426_of_2012.pdf,prakash krishna,lt. gen. hs panag
OA_2466_of_2012,CHANDIGARH,2014,07,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/july2014/OA_2466_of_2012.pdf,prakash krishna,lt. gen. hs panag
TA_20_of_2013,CHANDIGARH,2014,07,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/july2014/TA_20_of_2013.pdf,prakash krishna,lt. gen. hs panag
TA_44_of_2013,CHANDIGARH,2014,07,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/july2014/TA_44_of_2013.pdf,prakash krishna,lt. gen. hs panag
TA_85_of_2013,CHANDIGARH,2014,07,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/july2014/TA_85_of_2013.pdf,prakash krishna,lt. gen. hs panag
TA_152_of_2012,CHANDIGARH,2014,07,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/july2014/TA_152_of_2012.pdf,prakash krishna,lt. gen. hs panag
TA_216_of_2011,CHANDIGARH,2014,07,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/july2014/TA_216_of_2011.pdf,prakash krishna,lt. gen. hs panag
TA_1172_of_2010,CHANDIGARH,2014,07,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/july2014/TA_1172_of_2010.pdf,prakash krishna,lt. gen. hs panag
OA_173_of_2011,CHANDIGARH,2014,08,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/august2014/OA_173_of_2011.pdf,prakash krishna,lt. gen. hs panag
OA_356_of_2010,CHANDIGARH,2014,08,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/august2014/OA_356_of_2010.pdf,prakash krishna,lt. gen. hs panag
OA_1188_of_2012,CHANDIGARH,2014,08,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/august2014/OA_1188_of_2012.pdf,prakash krishna,lt. gen. hs panag
OA_1307_of_2013,CHANDIGARH,2014,08,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/august2014/OA_1307_of_2013.pdf,prakash krishna,lt. gen. hs panag
OA_1452_of_2013,CHANDIGARH,2014,08,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/august2014/OA_1452_of_2013.pdf,prakash krishna,lt. gen. hs panag
OA_1732_of_2011,CHANDIGARH,2014,08,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/august2014/OA_1732_of_2011.pdf,prakash krishna,lt. gen. hs panag
OA_3076_of_2013,CHANDIGARH,2014,08,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/august2014/OA_3076_of_2013.pdf,prakash krishna,lt. gen. hs panag
TA_52_of_2013,CHANDIGARH,2014,08,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/august2014/TA_52_of_2013.pdf,prakash krishna,lt. gen. hs panag
TA_83_of_2012,CHANDIGARH,2014,08,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/august2014/TA_83_of_2012.pdf,prakash krishna,lt. gen. hs panag
TA_104_of_2013,CHANDIGARH,2014,08,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/august2014/TA_104_of_2013.pdf,prakash krishna,lt. gen. hs panag
TA_874_of_2010,CHANDIGARH,2014,08,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/august2014/TA_874_of_2010.pdf,prakash krishna,lt. gen. hs panag
OA_300_of_2012,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/OA_300_of_2012.pdf,prakash krishna,lt. gen. hs panag
OA_654_of_2011,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/OA_654_of_2011.pdf,prakash krishna,lt. gen. hs panag
OA_739_of_2011,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/OA_739_of_2011.pdf,prakash krishna,lt. gen. hs panag
OA_774_of_2010,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/OA_774_of_2010.pdf,prakash krishna,lt. gen. hs panag
OA_1105_of_2013,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/OA_1105_of_2013.pdf,prakash krishna,lt. gen. hs panag
